source,table,mode,cursor_field,primary_key
maxplatform,public.authorization_codes,merge,created_at,id
maxplatform,public.casual_task_permissions,merge,created_at,id
maxplatform,public.client_status,merge,created_at,id
maxplatform,public.client_status_history,merge,created_at,id
maxplatform,public.clients,merge,updated_at,id
maxplatform,public.clients_history,merge,updated_at,history_id
maxplatform,public.ct_alarm_send_logs,merge,sent_at,id
maxplatform,public.ct_config_stage_permissions,merge,created_at,id
maxplatform,public.ct_periodic_generation_logs,merge,created_at,id
maxplatform,public.ct_periodic_rules,merge,updated_at,id
maxplatform,public.ct_report_templates,merge,updated_at,id
maxplatform,public.ct_site_configs,merge,updated_at,id
maxplatform,public.ct_site_form_fields,merge,updated_at,id
maxplatform,public.ct_site_stages,merge,updated_at,id
maxplatform,public.ct_stage_notification_rules,merge,updated_at,id
maxplatform,public.ct_stage_transitions,merge,created_at,id
maxplatform,public.error_logs,merge,created_at,id
maxplatform,public.factories,merge,updated_at,id
maxplatform,public.features,merge,updated_at,id
maxplatform,public.features_history,merge,updated_at,history_id
maxplatform,public.group_clients,merge,granted_at,group_id|client_id
maxplatform,public.group_clients_history,merge,changed_at,history_id
maxplatform,public.group_factories,merge,updated_at,id
maxplatform,public.group_sites,merge,updated_at,id
maxplatform,public.groups,merge,updated_at,id
maxplatform,public.groups_history,merge,updated_at,history_id
maxplatform,public.login_history,merge,created_at,id
maxplatform,public.mail_histories,merge,created_at,id
maxplatform,public.maxmes_factory,merge,modified_at,id
maxplatform,public.maxmes_operation,merge,modified_at,id
maxplatform,public.migrations,replica,,id
maxplatform,public.mt_meeting_action_items,merge,updated_at,id
maxplatform,public.mt_meeting_ai_drafts,merge,created_at,id
maxplatform,public.mt_meeting_ai_proposals,merge,created_at,id
maxplatform,public.mt_meeting_attachments,merge,updated_at,id
maxplatform,public.mt_meeting_attendees,merge,updated_at,id
maxplatform,public.mt_meeting_audit_logs,merge,created_at,id
maxplatform,public.mt_meeting_chunks,merge,updated_at,id
maxplatform,public.mt_meeting_decisions,merge,updated_at,id
maxplatform,public.mt_meeting_minutes,merge,updated_at,id
maxplatform,public.mt_meeting_publication_channels,merge,started_at,id
maxplatform,public.mt_meeting_publication_recipients,merge,created_at,id
maxplatform,public.mt_meeting_publications,merge,updated_at,id
maxplatform,public.mt_meeting_shares,merge,updated_at,id
maxplatform,public.mt_meeting_tags,merge,created_at,id
maxplatform,public.page_access_logs,merge,created_at,id
maxplatform,public.permissions,merge,updated_at,id
maxplatform,public.permissions_history,merge,updated_at,history_id
